problem_clarity_score,market_need_score,founder_market_fit_score,ai_fit_score,business_potential_score,validation_score,confidence,eye_contact,speaking_speed,filler_words,clarity,energy,qna_quality_score,pitch_length_words,has_clear_customer,has_business_model,has_competition_awareness,has_go_to_market,has_revenue_model,investor_readiness_score
77.97,27.96,56.55,52.54,53.72,45.69,74.79,73.03,108.0,4.0,67.56,73.27,66.86,243,0,0.0,0,1.0,0.0,52.41
63.84,57.97,29.08,53.48,54.49,41.78,65.66,53.18,151.0,2.0,75.19,69.7,72.87,245,1,0.0,0,0.0,0.0,56.89
77.88,41.0,61.46,49.73,61.54,58.2,60.84,41.65,144.0,8.0,59.82,62.18,79.72,215,0,0.0,0,1.0,0.0,53.08
84.49,50.3,60.94,65.98,72.72,64.06,60.16,46.89,127.0,7.0,63.76,48.16,49.51,286,0,,0,1.0,1.0,58.7
52.41,51.76,43.18,45.05,56.56,33.99,76.36,100.0,120.0,3.0,58.12,53.81,58.89,196,0,0.0,0,1.0,0.0,58.02
45.41,41.59,34.32,39.32,28.07,28.48,66.23,52.17,145.0,8.0,55.63,42.15,41.52,127,0,0.0,0,0.0,0.0,22.91
61.37,37.07,36.74,68.23,66.36,49.81,80.63,63.98,133.0,2.0,61.36,88.51,73.24,210,0,1.0,0,0.0,0.0,55.39
71.57,55.91,53.58,54.11,61.27,56.44,43.29,12.54,150.0,12.0,50.4,36.5,53.31,215,0,0.0,0,1.0,0.0,41.03
47.44,26.36,72.9,26.36,58.2,42.26,49.67,30.21,127.0,11.0,35.54,41.28,40.14,230,0,0.0,0,0.0,1.0,31.76
52.41,42.9,55.02,35.29,51.6,49.64,73.17,73.22,133.0,7.0,65.78,83.64,50.33,179,1,1.0,0,0.0,1.0,56.39
71.56,71.48,49.81,76.96,77.37,55.6,68.22,85.01,159.0,8.0,69.52,76.35,57.17,154,0,1.0,1,0.0,1.0,68.69
77.82,18.3,58.5,57.72,80.24,50.21,72.95,48.25,122.0,5.0,58.17,47.29,51.32,310,0,1.0,0,1.0,1.0,50.47
74.82,30.24,52.16,41.38,38.11,49.66,82.73,80.21,115.0,6.0,68.63,85.15,62.83,207,0,0.0,0,0.0,0.0,52.53
68.88,100.0,66.02,100.0,69.4,70.32,86.74,70.87,125.0,5.0,67.36,68.12,72.22,396,1,1.0,1,1.0,1.0,81.55
90.22,61.93,62.29,82.87,57.17,68.43,62.43,47.05,143.0,13.0,52.97,52.39,55.03,131,0,0.0,0,0.0,0.0,56.99
56.18,54.5,36.45,54.38,49.21,40.32,51.88,55.61,172.0,10.0,41.62,46.49,37.81,256,1,1.0,0,1.0,1.0,49.03
74.87,25.64,45.46,67.14,49.61,43.07,71.11,80.33,143.0,8.0,67.79,52.55,62.96,309,0,0.0,0,0.0,0.0,39.85
58.71,29.59,50.71,50.11,39.36,32.12,72.16,74.08,124.0,7.0,56.71,75.71,57.64,93,0,0.0,0,0.0,0.0,43.1
82.76,44.31,49.55,49.71,55.99,42.66,57.98,35.87,123.0,4.0,69.62,33.1,44.56,286,0,1.0,0,0.0,0.0,51.05
74.85,60.49,41.41,83.62,87.88,60.16,73.71,64.63,148.0,8.0,72.45,59.37,64.39,251,0,1.0,0,0.0,1.0,57.62
46.34,54.66,35.73,71.51,52.22,49.09,62.36,63.89,107.0,9.0,39.27,77.18,41.82,246,0,0.0,0,0.0,1.0,42.64
66.49,68.55,50.23,36.78,66.16,56.62,50.7,65.45,103.0,6.0,70.42,75.75,81.9,321,1,1.0,1,0.0,0.0,60.14
82.54,88.53,68.75,77.57,69.52,80.75,78.28,73.53,144.0,4.0,74.77,64.73,65.28,203,1,0.0,1,1.0,0.0,73.7
56.32,31.16,60.29,63.24,59.66,46.43,64.24,30.51,155.0,8.0,47.8,44.13,54.29,297,0,0.0,0,0.0,0.0,32.91
66.39,50.16,36.72,54.62,72.12,39.83,80.31,81.69,158.0,4.0,75.88,76.54,64.46,251,0,1.0,0,0.0,1.0,57.94
44.92,5.11,32.09,78.1,39.97,34.03,47.99,64.39,143.0,13.0,49.28,47.53,35.49,212,0,0.0,0,0.0,,25.85
66.07,63.37,53.23,97.32,63.8,54.56,56.79,42.87,159.0,6.0,63.99,75.05,47.1,262,1,0.0,0,0.0,0.0,51.67
59.07,55.58,54.21,62.41,50.54,53.37,43.42,26.51,133.0,10.0,39.68,38.77,43.32,282,0,1.0,0,0.0,1.0,51.62
73.31,52.73,59.52,70.03,80.19,48.34,54.36,64.6,131.0,11.0,64.67,45.6,44.05,184,1,0.0,0,1.0,0.0,52.26
60.92,22.39,37.06,54.88,37.86,37.42,68.63,81.67,139.0,8.0,63.09,66.24,54.68,249,0,0.0,0,1.0,0.0,32.24
75.43,,81.74,79.78,72.21,78.62,64.05,81.3,144.0,5.0,63.13,57.75,58.5,260,1,0.0,0,0.0,1.0,69.69
60.77,79.22,35.7,52.71,68.86,60.67,93.39,62.15,190.0,3.0,70.98,72.21,72.6,186,1,0.0,1,0.0,1.0,65.01
50.44,53.29,37.29,73.9,88.16,51.87,86.04,71.39,138.0,6.0,70.3,89.08,44.66,261,0,1.0,1,0.0,1.0,67.03
52.13,46.35,55.25,84.92,65.36,52.67,88.52,90.67,146.0,0.0,55.48,86.08,55.37,244,0,1.0,0,0.0,0.0,55.66
92.64,88.77,33.44,97.67,73.67,68.7,60.11,34.42,170.0,10.0,33.72,43.7,51.88,223,1,1.0,0,1.0,1.0,66.23
57.21,30.02,70.14,79.2,43.83,47.67,,44.21,220.0,18.0,46.06,41.91,64.01,231,0,0.0,0,,0.0,46.57
77.95,64.89,54.03,34.05,85.57,66.82,71.18,51.0,110.0,9.0,47.46,36.33,43.19,236,0,1.0,1,1.0,0.0,63.73
81.6,54.18,31.0,27.5,49.6,46.05,49.07,61.94,168.0,12.0,45.74,85.98,56.5,309,0,0.0,0,0.0,0.0,46.74
61.79,13.51,35.66,64.21,39.28,33.95,56.07,44.13,144.0,10.0,46.91,71.01,50.82,210,0,0.0,0,0.0,0.0,30.16
67.74,25.62,74.74,88.18,62.51,46.29,67.82,77.31,90.0,1.0,88.16,77.41,,141,0,0.0,0,0.0,0.0,48.48
83.7,48.87,84.84,79.8,60.77,,79.75,78.69,134.0,6.0,64.94,85.52,74.66,272,0,0.0,0,0.0,0.0,61.63
53.63,55.56,71.47,61.75,48.78,52.4,83.28,100.0,129.0,1.0,80.42,78.79,57.34,129,0,0.0,0,0.0,0.0,56.63
47.06,70.2,65.71,79.92,53.32,49.57,69.19,76.82,131.0,7.0,54.08,66.92,61.51,315,1,1.0,1,1.0,0.0,60.82
57.61,35.93,46.38,68.77,39.6,49.65,91.06,90.05,142.0,3.0,64.76,83.58,71.26,190,0,1.0,0,0.0,0.0,46.63
57.91,21.15,34.23,71.47,30.57,36.98,65.31,45.02,152.0,6.0,49.77,84.58,56.84,224,0,0.0,0,0.0,0.0,30.34
89.88,85.5,53.87,48.13,60.05,63.34,64.06,27.8,162.0,7.0,37.91,41.39,50.44,164,1,1.0,0,0.0,0.0,51.34
76.92,63.54,72.6,82.56,86.31,75.21,72.61,92.96,164.0,5.0,59.26,68.72,74.49,189,1,1.0,0,1.0,1.0,76.47
64.35,44.88,32.31,86.81,62.05,48.46,57.14,49.44,167.0,11.0,36.07,39.94,63.31,306,1,0.0,0,0.0,1.0,49.37
75.97,63.58,49.33,78.8,55.82,50.37,49.81,49.98,133.0,16.0,45.97,59.45,45.36,335,1,1.0,0,0.0,1.0,61.76
73.61,87.36,42.77,84.23,81.66,73.89,74.83,64.21,103.0,4.0,66.15,30.38,67.61,312,0,1.0,1,1.0,0.0,63.87
72.43,57.89,59.69,70.48,70.8,,76.85,63.58,96.0,8.0,62.72,65.73,69.62,280,0,0.0,0,0.0,0.0,54.61
,50.41,62.57,73.23,62.84,75.57,72.2,45.25,154.0,7.0,51.79,32.4,37.71,202,0,0.0,0,1.0,0.0,53.15
